Title|Director|LeadCast|YearOfRelease
RRR|S. S. Rajamouli|N. T. Rama Rao Jr., Ram Charan, Alia Bhatt|2022
Baahubali: The Beginning|S. S. Rajamouli|Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah|2015
Baahubali 2: The Conclusion|S. S. Rajamouli|Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah|2017
Pushpa: The Rise|Sukumar|Allu Arjun, Rashmika Mandanna, Fahadh Faasil|2021
Kalki 2898 AD|Nag Ashwin|Prabhas, Amitabh Bachchan, Kamal Haasan, Deepika Padukone|2024
Salaar: Part 1 – Ceasefire|Prashanth Neel|Prabhas, Prithviraj Sukumaran, Shruti Haasan|2023
Mahanati|Nag Ashwin|Keerthy Suresh, Dulquer Salmaan, Samantha Akkineni|2018
Eega|S. S. Rajamouli|Nani, Sudeep, Samantha Ruth Prabhu|2012
Rangasthalam|Sukumar|Ram Charan, Samantha Akkineni, Aadhi Pinisetty|2018
Arjun Reddy|Sandeep Reddy Vanga|Vijay Deverakonda, Shalini Pandey|2017
C/o Kancharapalem|Venkatesh Maha|Subba Rao, Radha Bessy, Kesava K|2018
Jersey|Gowtam Tinnanuri|Nani, Shraddha Srinath|2019
